"utm_source","utm_medium","utm_campaign","total_cost","visit_date","leads_count","purchases_count","revenue","visitors_count"
yandex,cpc,freemium,21654,2023-06-01,100,25,1654810,103
yandex,cpc,prof-frontend,57138,2023-06-01,73,12,1057000,78
yandex,cpc,prof-python,33026,2023-06-01,61,7,613196,62
yandex,cpc,base-python,12524,2023-06-01,28,7,476021,31
vk,cpc,prof-python,2028,2023-06-01,40,5,355564,71
vk,cpc,freemium-frontend,3160,2023-06-01,43,5,338083,80
yandex,cpc,prof-java,29490,2023-06-01,49,4,284590,49
yandex,cpc,base-frontend,18061,2023-06-01,39,3,268515,40
vk,cpc,prof-java,3115,2023-06-01,23,2,232726,51
yandex,cpc,prof-data-analytics,10086,2023-06-01,14,2,220264,14
yandex,cpc,prof-professions-brand,4818,2023-06-01,13,3,154287,13
telegram,cpp,base-java,,2023-06-20,1,1,151192,3
yandex,cpc,dod-php,5964,2023-06-01,4,1,150255,4
yandex,cpc,base-professions-retarget,151,2023-06-01,4,1,134100,4
vk,social,hexlet-blog,,2023-06-07,1,1,84000,3
